Slug,Title,Artist,Year,Rating,Review,FavoriteTrack,Image
the-miseducation-of-lauryn-hill,The Miseducation of Lauryn Hill,Ms. Lauryn Hill,,9,,Can't Take My Eyes Off of You,
the-off-season,The Off-Season,J. Cole,,,,,
the-rainbow-goblins,The Rainbow Goblins,Masayoshi Takanaka,,,,,
the-romantic,The Romantic,Bruno Mars,,,,,
the-way-it-is,The Way It Is,Keyshia Cole,,9,,Love,
timely,Timely!!,Anri,,,,,
utopia,UTOPIA,Travis Scott,,,,,
un-verano-sin-ti,Un verano sin ti,Bad Bunny,,,,,
unorthodox-jukebox,Unorthodox Jukebox,Bruno Mars,,,,,
vice-versa,VICE VERSA,Rauw Alejandro,,,,,
velvet-summer,Velvet Summer,Red Velvet,,,,,
voodoo,Voodoo,D'Angelo,,,,,
wasteland,WASTELAND,Brent Faiyaz,,,,,
whiplash,Whiplash,aespa,,,,,
whole-lotta-red,Whole Lotta Red,Playboi Carti,,,,,
winelight,Winelight,"Grover Washington, Jr.",,,,,
wish-you-hell,Wish You Hell,WENDY,,,,,
x-100pre,X 100PRE,Bad Bunny,,,,,
yhlqmdlg,YHLQMDLG,Bad Bunny,,,,,
yeezus,Yeezus,Kanye West,,,,,
the-reve-festival-2022-feel-my-rhythm,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,,,,,
album-139,とまどいトワイライト,Tazumi Toyoshima,,,,,
album-140,アイドル・ミラクルバイブルシリーズ 伊藤智恵理,Chieri Ito,,,,,
album-141,エスプレッソ,Rajie,,,,,
album-142,ニュー・ベスト・ナウ,Hi-Fi Set,,,,,
vol-1,ハートカクテル Vol.1,Naoya Matsuoka,,,,,
album-144,午後のレリーフ,Rajie,,,,,
song-of-the-sirens,回:Song of the Sirens,GFRIEND,,,,,
walpurgis-night,回:Walpurgis Night,GFRIEND,,,,,
album-147,憶蓮,Sandy Lam,,,,,
album-148,日常茶飯事,Roller Coaster [롤러코스터],,,,,
